trajectory_id,cumulative_detection_prob,avg_detection_per_second,time_in_observable,time_in_nonobservable,sliding_window_5s_min,sliding_window_5s_max,sliding_window_5s_mean,sliding_window_10s_min,sliding_window_10s_max,sliding_window_10s_mean,sliding_window_15s_min,sliding_window_15s_max,sliding_window_15s_mean,sliding_window_20s_min,sliding_window_20s_max,sliding_window_20s_mean,sliding_window_30s_min,sliding_window_30s_max,sliding_window_30s_mean
13,0.5783005415073541,0.0025818887269800413,338.0,322.0,0.0,0.35563060051540785,0.011845890450660597,0.0,0.5267989943206253,0.022346615485140196,0.0,0.5783005415073541,0.03297697012885841,nan,nan,nan,0.0,0.5783005415073541,0.06176259854242258
14,0.9992433260886556,0.020148415133494413,305.0,323.0,0.0,0.7330260655129148,0.07795792657447873,0.0,0.8924055808627662,0.1250969137388574,0.0,0.9506224518733585,0.16589666520664068,nan,nan,nan,0.0,0.9778411234801395,0.2979263042248165
15,0.5240924970677134,0.004058711357278573,451.0,177.0,0.0,0.2915997243169216,0.01971179501000204,0.0,0.42909511900596786,0.03880384855795056,0.0,0.5030279585417142,0.05928952714932155,nan,nan,nan,0.0,0.5213449998023909,0.1406327431420854
16,1.0,0.19675432004491064,478.0,155.0,0.0,0.9999979613395924,0.3861215314133939,0.0,0.9999999999159642,0.4879274709821585,0.0,0.9999999999999447,0.5856776628768577,nan,nan,nan,0.0,0.9999999999999998,0.8274340121522937
17,0.7136758557325102,0.006813359975825937,476.0,175.0,0.0,0.4151893149229735,0.03213763919937532,0.0,0.5876093749803881,0.06146790794550789,0.0,0.6861560858390803,0.09161523240874497,nan,nan,nan,0.0,0.7136758557325102,0.21282773461750187
18,0.8235490069313183,0.009516198431854637,460.0,173.0,0.0,0.46368517139722853,0.04223607548386424,0.0,0.67705660168512,0.07687900238868865,0.0,0.7881921177360998,0.11171266583498693,nan,nan,nan,0.0,0.823292745713023,0.24860320342739153
19,1.0,0.1688392441765469,450.0,175.0,0.0,0.9999993891502245,0.31255571054981884,0.0,0.9999999999191459,0.40228978174606567,0.0,0.9999999999997267,0.49778515319470185,nan,nan,nan,0.0,0.9999999999999989,0.7956291591946637
20,0.5707274355546174,0.0027642538560228988,347.0,297.0,0.0,0.2706838160878776,0.01316881744157922,0.0,0.44066616769858535,0.025237625687497628,0.0,0.5396703456355731,0.03737284936292954,nan,nan,nan,0.0,0.5544722656952655,0.07931653353843082
21,0.0,0.0,340.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
22,0.0,0.0,344.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
23,0.0,0.0,348.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
24,0.0,0.0,357.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
MEAN,0.7286092855424035,0.08043813251048952,357.84,283.96,0.0,0.6447632378714868,0.17385125161387524,0.0,0.696318862037684,0.2337580677902055,0.0,0.7193000362344978,0.29007850574740884,nan,nan,nan,0.0,0.7250490269126075,0.43549866199064496
