trajectory_id,cumulative_detection_prob,avg_detection_per_second,time_in_observable,time_in_nonobservable,sliding_window_5s_min,sliding_window_5s_max,sliding_window_5s_mean,sliding_window_10s_min,sliding_window_10s_max,sliding_window_10s_mean,sliding_window_15s_min,sliding_window_15s_max,sliding_window_15s_mean,sliding_window_20s_min,sliding_window_20s_max,sliding_window_20s_mean,sliding_window_30s_min,sliding_window_30s_max,sliding_window_30s_mean
0,1.0,0.09420841862878297,312.0,340.0,0.0,0.9999999981862622,0.17278844558270903,0.0,0.9999999999999913,0.22037908022521732,0.0,0.9999999999999999,0.2589470848930139,0.0,1.0,0.29358105517414335,0.0,1.0,0.35947840899223676
1,0.9507956036515067,0.008077851397846704,324.0,333.0,0.0,0.7581538473617847,0.030927221727927598,0.0,0.8949659925606249,0.05006385691972019,0.0,0.9355299268889036,0.06630313677549345,0.0,0.9487359655839414,0.0768828445774864,0.0,0.9507754518202227,0.08451606257905711
2,0.999999999999998,0.07066985571040284,333.0,335.0,0.0,0.9998380249555571,0.18713305387739657,0.0,0.9999992042810462,0.2552840404269975,0.0,0.999999977417396,0.30304422153209937,0.0,0.9999999947707862,0.3392837287667182,0.0,0.9999999989042363,0.40618136305298813
3,1.0,0.11584964578531964,324.0,334.0,0.0,0.9999998674304759,0.24488039746371382,0.0,0.9999999999969903,0.32305530320102227,0.0,0.9999999999999982,0.38487390932543986,0.0,1.0,0.43395414028480916,0.0,1.0,0.5342453389661357
4,1.0,0.1260479642998687,321.0,338.0,0.0,0.9999994433875578,0.24702356290896837,0.0,0.9999999999790358,0.32041505150080146,0.0,0.9999999999998929,0.3805368816578232,0.0,0.999999999999989,0.426495238393867,0.0,0.9999999999999977,0.5190810025382496
5,0.9999999999113296,0.05324901348819573,337.0,336.0,0.0,0.9908590615297672,0.15647581443418004,0.0,0.9997546870138879,0.2257141389699646,0.0,0.9999745694932853,0.27996923331749535,0.0,0.9999901061355186,0.32051437854260034,0.0,0.9999956214747768,0.3946614067715034
6,0.9999999999888038,0.05354217057472367,297.0,336.0,0.0,0.9982417366634662,0.14276545748768046,0.0,0.9999938273028275,0.20219851199639347,0.0,0.9999996738369685,0.2488441018973954,0.0,0.9999999059629,0.2821235055215666,0.0,0.9999999707366193,0.3383310479682737
7,1.0,0.12034260556244986,341.0,334.0,0.0,0.999996845915876,0.25723851154381056,0.0,0.9999999999361529,0.3375074464195913,0.0,0.9999999999998754,0.398058720862958,0.0,0.9999999999999968,0.44758533734184536,0.0,0.9999999999999994,0.551364821431748
8,0.9999999999793443,0.04887687644371524,316.0,339.0,0.0,0.9992711829863473,0.11946199646917027,0.0,0.9999984239727998,0.16168994950971882,0.0,0.9999999321725538,0.19231325061956786,0.0,0.9999999921774773,0.21625447054672708,0.0,0.9999999979055422,0.2673274217810285
9,1.0,0.0968567767683447,292.0,337.0,0.0,0.9999935229189728,0.21813245045847246,0.0,0.9999999992374845,0.28572449061819616,0.0,0.9999999999875436,0.3363914605411582,0.0,0.999999999998943,0.3774517376770004,0.0,0.9999999999998802,0.4570006775208564
10,1.0,0.11321600429046576,354.0,297.0,0.0,0.9999939753628945,0.25530659808776357,0.0,0.999999997982801,0.34985835564526985,0.0,0.9999999999657634,0.4328555052044,0.0,0.9999999999979112,0.5099456408607383,0.0,0.9999999999996108,0.6529759254898041
11,1.0,0.0993812825194111,342.0,297.0,0.0,0.9999990268651192,0.237501487046573,0.0,0.9999999999816859,0.33366343326715475,0.0,0.9999999999999704,0.4143814544081661,0.0,0.9999999999999989,0.48115026217087087,0.0,0.9999999999999999,0.5827051946755993
12,1.0,0.11723514209480518,353.0,294.0,0.0,0.9999750178544634,0.2430303077478587,0.0,0.9999999927543854,0.3140620451000998,0.0,0.9999999999630018,0.37359228881371015,0.0,0.9999999999979319,0.42934107850893344,0.0,0.9999999999995928,0.5487894494628751
13,1.0,0.10465963095370395,351.0,297.0,0.0,0.9999999674462906,0.22863002679086483,0.0,0.9999999999993194,0.31413301395641113,0.0,0.9999999999999979,0.3872665987815951,0.0,0.9999999999999999,0.4464734333192864,0.0,1.0,0.5427015929896373
14,1.0,0.10635200919663107,327.0,298.0,0.0,0.9999999657059929,0.1951665281565411,0.0,0.999999999996714,0.24486338760296436,0.0,0.9999999999999714,0.2851079695545352,0.0,0.9999999999999988,0.3254573291833281,0.0,0.9999999999999998,0.4073350637478275
15,1.0,0.1531794352995411,330.0,295.0,0.0,0.9999996735571284,0.28490771659468905,0.0,0.9999999999912718,0.35980455399593664,0.0,0.9999999999999902,0.4256674492219933,0.0,0.9999999999999994,0.4925746704276642,0.0,0.9999999999999999,0.6287158398531218
16,1.0,0.09783894915892041,345.0,296.0,0.0,0.9999999992598648,0.21867817751714716,0.0,0.9999999999999963,0.2985303321257518,0.0,1.0,0.3611273299747342,0.0,1.0,0.41360940732152385,0.0,1.0,0.5071504857410511
17,1.0,0.1012921703915178,333.0,293.0,0.0,0.999613556978504,0.24884232846838664,0.0,0.9999993670767952,0.3543868761929936,0.0,0.9999999894610323,0.4422673816802877,0.0,0.99999999802688,0.5168241828868413,0.0,0.9999999992537558,0.6444421794512829
18,1.0,0.09392366814390178,344.0,296.0,0.0,0.9999997887773623,0.2126078504374045,0.0,0.9999999999934268,0.28686280698604644,0.0,0.9999999999999973,0.3436525434524983,0.0,0.9999999999999999,0.3912181175743394,0.0,1.0,0.47422668115082095
19,1.0,0.09918078795603462,343.0,294.0,0.0,0.9994900146797003,0.23414089989134731,0.0,0.9999990683390039,0.311988514271511,0.0,0.999999994642147,0.3752342198765479,0.0,0.999999999400086,0.4371054237166657,0.0,0.9999999998924145,0.5492793611288128
20,1.0,0.18232714903294842,323.0,321.0,0.0,0.999999527000779,0.37136528918461137,0.0,0.9999999999761974,0.47488807043556436,0.0,0.9999999999999482,0.5598402374049453,0.0,0.9999999999999933,0.6361907087160659,0.0,0.9999999999999989,0.790232928480796
21,1.0,0.14971126212089217,310.0,322.0,0.0,0.9999995444291412,0.28773039120088106,0.0,0.9999999999818474,0.37020995976268745,0.0,0.9999999999999688,0.4297806788541537,0.0,0.9999999999999981,0.4864086309749056,0.0,0.9999999999999997,0.6010947819659658
22,1.0,0.1817891709925874,324.0,323.0,0.0,0.9999999730576701,0.36317369556782286,0.0,0.9999999999999528,0.4685456890766549,0.0,0.9999999999999999,0.5545993836177852,0.0,1.0,0.6286608150068754,0.0,1.0,0.7801337893820999
23,1.0,0.1546755192251794,325.0,321.0,0.0,0.9999999922314159,0.2963034922578625,0.0,0.9999999999994026,0.3752020335730617,0.0,0.9999999999999988,0.43249081568015435,0.0,1.0,0.48384061970143544,0.0,1.0,0.5907105328082238
24,1.0,0.16213909273014349,322.0,325.0,0.0,0.9999999998593461,0.30918338185741967,0.0,0.999999999999999,0.3893884162400776,0.0,1.0,0.4513459433906589,0.0,1.0,0.5037954571301673,0.0,1.0,0.6114177056477428
25,1.0,0.18597898963891865,326.0,321.0,0.0,0.9999999919441583,0.3691514354713035,0.0,0.9999999999999801,0.4748678527367858,0.0,1.0,0.5550411121315709,0.0,1.0,0.6312538948548285,0.0,1.0,0.7923744681249538
26,1.0,0.17448245724727582,321.0,320.0,0.0,0.9999999995183524,0.3483515192135871,0.0,0.9999999999999949,0.4476044804357142,0.0,1.0,0.5244924115341543,0.0,1.0,0.5955259473518618,0.0,1.0,0.7424078610826049
27,1.0,0.17121364740901487,328.0,322.0,0.0,0.9999999998418594,0.3400622515306847,0.0,0.999999999999993,0.44190069805121873,0.0,1.0,0.5214995600210688,0.0,1.0,0.5923951256209752,0.0,1.0,0.7359435431023859
28,1.0,0.16771341737779125,340.0,323.0,0.0,0.999999998455137,0.31369692538354393,0.0,0.9999999999999847,0.4022118374739286,0.0,1.0,0.4698356024015608,0.0,1.0,0.5329049578044546,0.0,1.0,0.6642275760930146
