trajectory_id,cumulative_detection_prob,avg_detection_per_second,time_in_observable,time_in_nonobservable,sliding_window_5s_min,sliding_window_5s_max,sliding_window_5s_mean,sliding_window_10s_min,sliding_window_10s_max,sliding_window_10s_mean,sliding_window_15s_min,sliding_window_15s_max,sliding_window_15s_mean,sliding_window_30s_min,sliding_window_30s_max,sliding_window_30s_mean,sliding_window_60s_min,sliding_window_60s_max,sliding_window_60s_mean
0,1.0,0.2396127765822517,320.0,354.0,0.0,0.9999999956423218,0.4962240788413488,0.0,0.9999999999993412,0.6555869112386989,0.0,0.9999999999999972,0.777549349524538,0.5619403825000691,0.9999999999999999,0.9503565250840634,0.9445480245188302,1.0,0.9964996524144003
1,1.0,0.24141582694932476,325.0,352.0,0.0,0.9999999971193269,0.48224600869020356,0.0,0.9999999999999247,0.6402303160469416,0.0,0.9999999999999994,0.7650167073842131,0.3696718133618059,1.0,0.9373098760948988,0.9538840594560436,1.0,0.9971473788822804
2,1.0,0.24650072987074612,328.0,350.0,0.0,0.9999999999772081,0.5059739655596334,0.0,0.9999999999999989,0.6693270840999657,0.0,1.0,0.7884013250591796,0.5875581786522222,1.0,0.9544158221802176,0.9487440075518203,1.0,0.9971350335398124
3,0.9999999999988007,0.08633852434564616,415.0,239.0,0.0,0.9981502706148292,0.2507583405642087,0.0,0.9999895350257477,0.3743473411545352,0.0,0.9999991418007406,0.4852242471975441,0.0,0.9999998114111542,0.68362806141292,0.06610680268098867,0.9999999993570109,0.8312990446607409
4,0.9999999999984029,0.08575514330776732,413.0,240.0,0.0,0.9988831370679292,0.25043157191079846,0.0,0.999985106825732,0.37677051289869345,0.0,0.9999986068724726,0.4853131332402709,0.0,0.9999997182816664,0.6788781972489164,0.13687371290745387,0.9999999993445665,0.8566953895187523
5,0.9999999999999863,0.0874878018557132,417.0,240.0,0.0,0.9999588677685359,0.23432749427771932,0.0,0.9999999335789899,0.3529732678334391,0.0,0.9999999988233429,0.4562486991365471,0.0,0.9999999998575066,0.6547727221078466,0.057332590932766214,0.9999999999916169,0.8489722847747548
6,1.0,0.11102366640607819,430.0,212.0,0.0,0.9999996340843217,0.2741790774718677,0.0,0.999999999904662,0.39976262268794477,0.0,0.9999999999994901,0.5041167273838736,0.003239941136044755,0.9999999999999675,0.7915369918406223,0.9426593644431461,0.9999999999999926,0.989240426222951
7,1.0,0.114123864396177,433.0,214.0,0.0,0.9999999815350147,0.2739037113508946,0.0,0.9999999999999034,0.40180357939404954,0.0,0.9999999999999998,0.5079611583849197,0.0,1.0,0.7862367324400906,0.8933131334953311,1.0,0.9845949951225239
8,1.0,0.11402668182622346,426.0,215.0,0.0,0.9999999995876159,0.27118737180063146,0.0,0.9999999999999964,0.3907054987308519,0.0,1.0,0.48706656881549193,0.0,1.0,0.7441125763094582,0.7268588085207499,1.0,0.9694615372830133
9,1.0,0.10430280332145729,455.0,227.0,0.0,0.9999999910785655,0.22548091287472266,0.0,0.9999999999998503,0.31856175057412855,0.0,0.9999999999999994,0.40486251154580793,0.0,1.0,0.6478274526070631,0.5993481864340462,1.0,0.8802223719300023
